<saosp;
OPERATING SYSTEM AREA

POS  ADDRESS                    VALUE  MEANING
  0  H'0000 00180010              256  SIZE OF OS AREA W32
  1  H'0000 00180012             4096  SYSTEM DIMENSION
  2  H'0000 00180014           131072  PHYSICAL SIZE PS KW32
  3  H'0000 00180016            16384  PHYSICAL SIZE RS KW32
  4  H'0000 00180018          3369856  PHYSICAL SIZE DS KW32
  5  H'0000 0018001A                0  PHYSICAL SIZE MS MW8
  6  H'0000 0018001C                0  SPARE
  7  H'0000 0018001E                0  SPARE
  8  H'0000 00180020           131072  LOGICAL SIZE PS KW32
  9  H'0000 00180022            16384  LOGICAL SIZE RS KW32
 10  H'0000 00180024          3221040  LOGICAL SIZE DS KW32
 11  H'0000 00180026                0  LOGICAL SIZE MS MW8
 12  H'0000 00180028             4096  MEMORY PAGE SIZE W32
 13  H'0000 0018002A                0  SPARE
 14  H'0000 0018002C                0  SPARE
 15  H'0000 0018002E                0  SPARE
 16  H'0000 00180030              H'0  PHYSICAL START ADDRESS PS W32
 17  H'0000 00180032              H'0  PHYSICAL START ADDRESS RS W32
 18  H'0000 00180034              H'0  PHYSICAL START ADDRESS DS W32
 19  H'0000 00180036        H'D000000  VIRTUAL MACHINE START ADDRESS PS
                                       W8
 20  H'0000 00180038        H'7000000  VIRTUAL MACHINE START ADDRESS RS
                                       W8
 21  H'0000 0018003A     H'2 65080000  VIRTUAL MACHINE START ADDRESS DS
                                       W8
 22  H'0000 0018003C                0  SPARE
 23  H'0000 0018003E                0  SPARE
 24  H'0000 00180040              H'0  LOGICAL START ADDRESS PS W32
 25  H'0000 00180042              H'0  LOGICAL START ADDRESS RS W32
 26  H'0000 00180044              H'0  LOGICAL START ADDRESS DS W32
 27  H'0000 00180046             4096  EXTENDED SYSTEM DIMENSION
 28  H'0000 00180048                0  SPARE
 29  H'0000 0018004A                0  EXTENSION MODULE SIZE PS W32
 30  H'0000 0018004C                0  EXTENSION MODULE SIZE RS W32
 31  H'0000 0018004E                0  EXTENSION MODULE SIZE DS W32
 32  H'0000 00180050                0  SPARE
 33  H'0000 00180052                0  SPARE
 34  H'0000 00180054      H'6590 8000  RELOCATION PRINCIPLE BOUNDARY
                                       ADDRESS IN DS W32
 35  H'0000 00180056                2  SYSTEM INSTRUCTION SET VERSION
 36  H'0000 00180058                0  SPARE
 37  H'0000 0018005A         H'1 3AE5  APZVM FUNCTIONS
 38  H'0000 0018005C                0  SPARE
 39  H'0000 0018005E                0  SPARE
 40  H'0000 00180060                0  SPARE
 41  H'0000 00180062       H'3FF FFFF  HIGHEST USABLE POINTER VALUE
 42  H'0000 00180064                0  SPARE
 43  H'0000 00180066                0  SPARE
 44  H'0000 00180068                0  SPARE
 45  H'0000 0018006A                0  SPARE
 46  H'0000 0018006C                0  SPARE
 47  H'0000 0018006E              212  APZ TYPE
 48  H'0000 00180070               50  APZ VERSION
 49  H'0000 00180072                1  APZ REVISION
 50  H'0000 00180074                1  APZ PRODUCT NUMBER INDEX
 51  H'0000 00180076             2000  APZ CAPACITY FACTOR
 52  H'0000 00180078               16  PROGRAM CLOCK SIZE W32
 53  H'0000 0018007A        H'18 0210  PROGRAM CLOCK ADDRESS W32
 54  H'0000 0018007C            16384  RSU TABLE SIZE W32
 55  H'0000 0018007E        H'18 0220  RSU TABLE ADDRESS W32
 56  H'0000 00180080                0  SPARE
 57  H'0000 00180082                0  SPARE
 58  H'0000 00180084                0  SPARE
 59  H'0000 00180086                0  SPARE
 60  H'0000 00180088        H'18 8D60  RS RELOCATABLE AREA
                                       START ADDRESS W32
 61  H'0000 0018008A                0  SPARE
 62  H'0000 0018008C                0  SPARE
 63  H'0000 0018008E                0  SPARE
 64  H'0000 00180090             1024  PS FREE AREA TABLE SIZE W32
 65  H'0000 00180092        H'18 4220  PS FREE AREA TABLE ADDRESS W32
 66  H'0000 00180094             1024  RS FREE AREA TABLE SIZE W32
 67  H'0000 00180096        H'18 4620  RS FREE AREA TABLE ADDRESS W32
 68  H'0000 00180098             4096  DS FREE AREA TABLE SIZE W32
 69  H'0000 0018009A        H'18 4A20  DS FREE AREA TABLE ADDRESS W32
 70  H'0000 0018009C               64  SNTT SIZE W32
 71  H'0000 0018009E        H'18 8A20  SNTT START ADDRESS W32
 72  H'0000 001800A0         30400214  PS BUA SIZE W32
 73  H'0000 001800A2      H'CBA7 D5BA  PS BUA START ADDRESS W32
 74  H'0000 001800A4          3557195  RS BUA SIZE W32
 75  H'0000 001800A6      H'CD77 B490  RS BUA START ADDRESS W32
 76  H'0000 001800A8            49147  DS SMALL BUA SIZE W32
 77  H'0000 001800AA      H'C498 C000  DS SMALL BUA START ADDRESS W32
 78  H'0000 001800AC        118379967  DS LARGE BUA SIZE W32
 79  H'0000 001800AE      H'C499 7FFB  DS LARGE BUA START ADDRESS W32
 80  H'0000 001800B0           881602  PS TRANSPORT AREA SIZE W32
 81  H'0000 001800B2       H'7F2 8C3E  PS TRANSPORT AREA ADDRESS W32
 82  H'0000 001800B4             6832  RS TRANSPORT AREA SIZE W32
 83  H'0000 001800B6        H'FF E550  RS TRANSPORT AREA ADDRESS W32
 84  H'0000 001800B8                0  DS TRANSPORT AREA SIZE W32
 85  H'0000 001800BA      H'C498 C000  DS TRANSPORT AREA ADDRESS W32
 86  H'0000 001800BC                0  SIZE DS PROTECTED AREA
                                       DURING FC W32
 87  H'0000 001800BE              H'0  START ADDRESS DS PROTECTED AREA
                                       DURING FC W32
 88  H'0000 001800C0            65536  GSDT-U SIZE W32
 89  H'0000 001800C2         H'2 0000  GSDT-U PS START ADDRESS W32
 90  H'0000 001800C4                0  SPARE
 91  H'0000 001800C6                0  SPARE
 92  H'0000 001800C8           524288  GSDT-M SIZE W32
 93  H'0000 001800CA         H'3 0000  GSDT-M PS START ADDRESS W32
 94  H'0000 001800CC                0  SPARE
 95  H'0000 001800CE                0  SPARE
 96  H'0000 001800D0           131072  CTSAT SIZE W32
 97  H'0000 001800D2              H'0  CTSAT PS START ADDRESS W32
 98  H'0000 001800D4             1999  HIGHEST USABLE SAE NUMBER
 99  H'0000 001800D6         H'F FFFF  HIGHEST USABLE POINTER VALUE
                                       BY HW
100  H'0000 001800D8               15  HIGHEST USABLE TIME ZONE NUMBER
101  H'0000 001800DA                0  SPARE
102  H'0000 001800DC                0  SPARE
103  H'0000 001800DE              768  SYSTEM VARIABLE TABLE SIZE W32
104  H'0000 001800E0        H'18 8A60  SYSTEM VARIABLE TABLE
                                       RS START ADDRESS W32
105  H'0000 001800E2           524288  INSTRUCTION TRACE ADDRESS TABLE
                                       SIZE W32
106  H'0000 001800E4        H'10 0010  INSTRUCTION TRACE ADDRESS TABLE
                                       RS START ADDRESS W32
107  H'0000 001800E6              H'2  MEMORY LAYOUT VERSION
108  H'0000 001800E8                0  SPARE
109  H'0000 001800EA                0  SPARE
110  H'0000 001800EC                0  SPARE
111  H'0000 001800EE                0  SPARE
112  H'0000 001800F0                0  SPARE
113  H'0000 001800F2                0  SPARE
114  H'0000 001800F4                0  SPARE
115  H'0000 001800F6                0  SPARE
116  H'0000 001800F8                0  SPARE
117  H'0000 001800FA                0  SPARE
118  H'0000 001800FC                0  SPARE
119  H'0000 001800FE                0  SPARE
120  H'0000 00180100                0  SPARE
121  H'0000 00180102                0  SPARE
122  H'0000 00180104                0  SPARE
123  H'0000 00180106                0  SPARE
124  H'0000 00180108                0  SPARE
125  H'0000 0018010A                0  SPARE
126  H'0000 0018010C                0  SPARE
127  H'0000 0018010E                0  SPARE

END

<syrip:survey;
ORDERED

<
COMMAND SESSION SUSPENDED

SOFTWARE RECOVERY SURVEY

EVENT TYPE          EXPLANATION                         EVENTCNT  FRDEL
   62 FORLOPP       DYN BUFFER, PR1=0 OR IR TOO LARGE                 1
   60 APPLERR       ERROR REPORTED BY PROCEDURE FLERROR        2 
   51 FORLOPP       TIMEOUT AT FORLOPP AUDIT & FLERROR                0
   50 APPLERR       ERROR REPORTED BY PROCEDURE FLERROR          
   37 APPLERR       ERROR REPORTED BY PROCEDURE FLERROR        2 
   29 APPLERR       ERROR REPORTED BY PROCEDURE FLERROR        3 
   26 APPLERR       ERROR REPORTED BY PROCEDURE FLERROR        2 
   17 APPLERR       ERROR REPORTED BY PROCEDURE FLERROR        2 
    7 FORLOPP       NO SIGNAL ENTRY IN BLOCK                          1
    4 APPLERR       ERROR REPORTED BY PROCEDURE FLERROR        5 
   35 FORLOPP       MANUALLY INITIATED FORLOPP RELEASE                0
   30 APPLERR       ERROR REPORTED BY PROCEDURE FLERROR       23 
   16 RELOAD        PROGRAM HANDLING ERROR                       

EVENT CODE   INF1   INF2   INF3   INF4   SIDE STATE  DATE   TIME ACTIVE
   62 H'0020 H'08E9 H'0DF8 H'0000 H'0000 A-EX NORMAL 120110 1036 NO
   60 H'4301 H'F203 H'032E H'0003 H'A05C A-EX NORMAL 120102 1107 NO
   51 H'310D H'6C02 H'41C3 H'08AE H'0086 A-EX NORMAL 111018 2051 NO
   50 H'4301 H'6C02 H'41C3 H'0000 H'7032 A-EX NORMAL 111018 2035 NO
   37 H'4301 H'EA08 H'0452 H'0002 H'9358 A-EX NORMAL 110819 1311 NO
   29 H'4301 H'1305 H'2F1C H'0000 H'B24D A-EX NORMAL 110722 2228 NO
   26 H'4301 H'1305 H'2F1C H'0001 H'520C A-EX NORMAL 110721 1209 NO
   17 H'4301 H'1305 H'2F1C H'0004 H'D674 A-EX NORMAL 110617 2137 NO
    7 H'0210 H'026C H'4D79 H'5F02 H'025C A-EX NORMAL 110505 0954 NO
    4 H'4301 H'1305 H'2F1C H'0005 H'46B8 A-EX NORMAL 110429 0305 NO
   35 H'310C H'0000 H'0144 H'0001 H'0000 A-EX NORMAL 101007 2344 NO
   30 H'4300 H'B709 H'0401 H'0000 H'0000 A    SINGLE 100913 1224 NO
   16 H'9000 H'0000 H'0000 H'0000 H'0000 A-EX NORMAL 100731 1739 NO

END



 RECONN EXECUTED
<dircp;
ORDERED

<
COMMAND SESSION SUSPENDED

CP EVENT RECORD 

